Year,Patient County,PQI Number,PQI Name,"Observed Rate Per 100,000 People","Expected Rate Per 100,000 People"
2009,STATEWIDE,PQI_90,Prevention Quality Overall Composite,1725.57,1725.57
2010,STATEWIDE,PQI_90,Prevention Quality Overall Composite,1598.52,1598.52
2011,STATEWIDE,PQI_90,Prevention Quality Overall Composite,1587.3,1587.3
2012,STATEWIDE,PQI_90,Prevention Quality Overall Composite,1506.12,1506.12
2009,STATEWIDE,PQI_91,Prevention Quality Acute Composite,598.62,598.62
2010,STATEWIDE,PQI_91,Prevention Quality Acute Composite,551.1,551.1
2011,STATEWIDE,PQI_91,Prevention Quality Acute Composite,555.83,555.83
2012,STATEWIDE,PQI_91,Prevention Quality Acute Composite,517.66,517.66
2009,STATEWIDE,PQI_92,Prevention Quality Chronic Composite,1126.95,1126.95
2010,STATEWIDE,PQI_92,Prevention Quality Chronic Composite,1047.31,1047.31
2011,STATEWIDE,PQI_92,Prevention Quality Chronic Composite,1031.47,1031.47
2012,STATEWIDE,PQI_92,Prevention Quality Chronic Composite,988.57,988.57
2009,STATEWIDE,PQI_S01,Prevention Quality All Diabetes Composite,247.94,247.94
2010,STATEWIDE,PQI_S01,Prevention Quality All Diabetes Composite,240.46,240.46
2011,STATEWIDE,PQI_S01,Prevention Quality All Diabetes Composite,241.23,241.23
2012,STATEWIDE,PQI_S01,Prevention Quality All Diabetes Composite,232.98,232.98
2009,STATEWIDE,PQI_S02,Prevention Quality All Circulatory Composite,491.59,491.59
2010,STATEWIDE,PQI_S02,Prevention Quality All Circulatory Composite,449.13,449.13
2011,STATEWIDE,PQI_S02,Prevention Quality All Circulatory Composite,430.76,430.76
2012,STATEWIDE,PQI_S02,Prevention Quality All Circulatory Composite,413.71,413.71
2009,STATEWIDE,PQI_S03,Prevention Quality All Respiratory Composite,387.53,387.53
2010,STATEWIDE,PQI_S03,Prevention Quality All Respiratory Composite,357.83,357.83
2011,STATEWIDE,PQI_S03,Prevention Quality All Respiratory Composite,359.59,359.59
2012,STATEWIDE,PQI_S03,Prevention Quality All Respiratory Composite,341.88,341.88
2009,ALBANY,PQI_01,Diabetes Short-term Complications,54.45,49.5
2010,ALBANY,PQI_01,Diabetes Short-term Complications,66.44,49.61
2011,ALBANY,PQI_01,Diabetes Short-term Complications,66,54.34
2012,ALBANY,PQI_01,Diabetes Short-term Complications,44.33,57.42
2009,ALBANY,PQI_03,Diabetes Long-term Complications,97.68,119.02
2010,ALBANY,PQI_03,Diabetes Long-term Complications,102.08,117.04
2011,ALBANY,PQI_03,Diabetes Long-term Complications,113.74,118.8
2012,ALBANY,PQI_03,Diabetes Long-term Complications,66.33,114.62
2009,ALBANY,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,536.14,523.93
2010,ALBANY,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,548.79,484.33
2011,ALBANY,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,505.56,488.18
2012,ALBANY,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,374.11,466.51
2009,ALBANY,PQI_07,Hypertension,54.89,60.83
2010,ALBANY,PQI_07,Hypertension,57.2,59.62
2011,ALBANY,PQI_07,Hypertension,57.09,59.73
2012,ALBANY,PQI_07,Hypertension,44.33,61.05
2009,ALBANY,PQI_08,Heart Failure,282.04,362.34
2010,ALBANY,PQI_08,Heart Failure,280.72,324.5
2011,ALBANY,PQI_08,Heart Failure,301.18,310.42
2012,ALBANY,PQI_08,Heart Failure,240.02,298.87
2009,ALBANY,PQI_10,Dehydration,144.1,141.57
2010,ALBANY,PQI_10,Dehydration,110.99,125.73
2011,ALBANY,PQI_10,Dehydration,132.88,122.76
2012,ALBANY,PQI_10,Dehydration,109.45,114.62
2009,ALBANY,PQI_11,Bacterial Pneumonia,258.94,285.23
2010,ALBANY,PQI_11,Bacterial Pneumonia,250.03,248.49
2011,ALBANY,PQI_11,Bacterial Pneumonia,238.59,256.85
2012,ALBANY,PQI_11,Bacterial Pneumonia,134.75,233.31
2009,ALBANY,PQI_12,Urinary Tract Infection,163.02,170.28
2010,ALBANY,PQI_12,Urinary Tract Infection,180.73,169.29
2011,ALBANY,PQI_12,Urinary Tract Infection,192.17,166.1
2012,ALBANY,PQI_12,Urinary Tract Infection,145.09,161.81
2009,ALBANY,PQI_13,Angina Without Procedure,11.77,28.27
2010,ALBANY,PQI_13,Angina Without Procedure,6.27,23.21
2011,ALBANY,PQI_13,Angina Without Procedure,7.26,20.13
2012,ALBANY,PQI_13,Angina Without Procedure,5.39,18.59
2009,ALBANY,PQI_14,Uncontrolled Diabetes,14.63,25.74
2010,ALBANY,PQI_14,Uncontrolled Diabetes,10.89,22
2011,ALBANY,PQI_14,Uncontrolled Diabetes,13.64,20.57
2012,ALBANY,PQI_14,Uncontrolled Diabetes,15.29,20.57
2009,ALBANY,PQI_15,Asthma in Younger Adults,65.45,77.33
2010,ALBANY,PQI_15,Asthma in Younger Adults,57.53,60.83
2011,ALBANY,PQI_15,Asthma in Younger Adults,50.82,59.4
2012,ALBANY,PQI_15,Asthma in Younger Adults,50.49,60.83
2009,ALBANY,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,11.77,12.54
2010,ALBANY,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,10.56,11.88
2011,ALBANY,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,12.76,12.32
2012,ALBANY,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,10.34,12.54
2009,ALBANY,PQI_90,Prevention Quality Overall Composite,1434.29,1593.35
2010,ALBANY,PQI_90,Prevention Quality Overall Composite,1424.17,1459.81
2011,ALBANY,PQI_90,Prevention Quality Overall Composite,1455.3,1455.08
2012,ALBANY,PQI_90,Prevention Quality Overall Composite,1058.09,1394.03
2009,ALBANY,PQI_91,Prevention Quality Acute Composite,566.06,596.97
2010,ALBANY,PQI_91,Prevention Quality Acute Composite,541.64,543.51
2011,ALBANY,PQI_91,Prevention Quality Acute Composite,563.64,545.6
2012,ALBANY,PQI_91,Prevention Quality Acute Composite,389.18,509.74
2009,ALBANY,PQI_92,Prevention Quality Chronic Composite,868.23,996.38
2010,ALBANY,PQI_92,Prevention Quality Chronic Composite,882.53,916.41
2011,ALBANY,PQI_92,Prevention Quality Chronic Composite,891.66,909.48
2012,ALBANY,PQI_92,Prevention Quality Chronic Composite,668.91,884.29
2009,ALBANY,PQI_S01,Prevention Quality All Diabetes Composite,173.47,201.19
2010,ALBANY,PQI_S01,Prevention Quality All Diabetes Composite,187,195.03
2011,ALBANY,PQI_S01,Prevention Quality All Diabetes Composite,200.2,200.09
2012,ALBANY,PQI_S01,Prevention Quality All Diabetes Composite,132.66,199.21
2009,ALBANY,PQI_S02,Prevention Quality All Circulatory Composite,348.59,451.44
2010,ALBANY,PQI_S02,Prevention Quality All Circulatory Composite,344.19,407.22
2011,ALBANY,PQI_S02,Prevention Quality All Circulatory Composite,365.53,390.28
2012,ALBANY,PQI_S02,Prevention Quality All Circulatory Composite,289.74,378.51
2009,ALBANY,PQI_S03,Prevention Quality All Respiratory Composite,346.17,343.64
2010,ALBANY,PQI_S03,Prevention Quality All Respiratory Composite,351.34,314.05
2011,ALBANY,PQI_S03,Prevention Quality All Respiratory Composite,326.37,319.22
2012,ALBANY,PQI_S03,Prevention Quality All Respiratory Composite,246.62,306.68
2009,ALLEGANY,PQI_01,Diabetes Short-term Complications,45.76,39.71
2010,ALLEGANY,PQI_01,Diabetes Short-term Complications,45.32,40.37
2011,ALLEGANY,PQI_01,Diabetes Short-term Complications,70.4,43.45
2012,ALLEGANY,PQI_01,Diabetes Short-term Complications,31.24,44.44
2009,ALLEGANY,PQI_03,Diabetes Long-term Complications,101.64,91.19
2010,ALLEGANY,PQI_03,Diabetes Long-term Complications,75.57,91.63
2011,ALLEGANY,PQI_03,Diabetes Long-term Complications,70.4,94.71
2012,ALLEGANY,PQI_03,Diabetes Long-term Complications,73.04,89.1
2009,ALLEGANY,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,747.89,499.29
2010,ALLEGANY,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,678.04,470.36
2011,ALLEGANY,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,604.56,457.6
2012,ALLEGANY,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,341.55,418.11
2009,ALLEGANY,PQI_07,Hypertension,35.53,39.71
2010,ALLEGANY,PQI_07,Hypertension,25.19,40.59
2011,ALLEGANY,PQI_07,Hypertension,15.62,41.25
2012,ALLEGANY,PQI_07,Hypertension,2.64,40.26
2009,ALLEGANY,PQI_08,Heart Failure,386.1,329.34
2010,ALLEGANY,PQI_08,Heart Failure,294.69,300.63
2011,ALLEGANY,PQI_08,Heart Failure,242.66,278.74
2012,ALLEGANY,PQI_08,Heart Failure,177.32,259.38
2009,ALLEGANY,PQI_10,Dehydration,220.99,137.94
2010,ALLEGANY,PQI_10,Dehydration,133.43,122.65
2011,ALLEGANY,PQI_10,Dehydration,138.27,118.25
2012,ALLEGANY,PQI_10,Dehydration,80.85,108.24
2009,ALLEGANY,PQI_11,Bacterial Pneumonia,340.34,278.19
2010,ALLEGANY,PQI_11,Bacterial Pneumonia,352.55,247.06
2011,ALLEGANY,PQI_11,Bacterial Pneumonia,380.93,251.02
2012,ALLEGANY,PQI_11,Bacterial Pneumonia,260.7,224.84
2009,ALLEGANY,PQI_12,Urinary Tract Infection,119.35,156.86
2010,ALLEGANY,PQI_12,Urinary Tract Infection,108.35,159.72
2011,ALLEGANY,PQI_12,Urinary Tract Infection,112.2,152.68
2012,ALLEGANY,PQI_12,Urinary Tract Infection,67.76,145.09
2009,ALLEGANY,PQI_13,Angina Without Procedure,60.94,23.43
2010,ALLEGANY,PQI_13,Angina Without Procedure,25.19,19.36
2011,ALLEGANY,PQI_13,Angina Without Procedure,57.42,17.16
2012,ALLEGANY,PQI_13,Angina Without Procedure,10.45,15.4
2009,ALLEGANY,PQI_14,Uncontrolled Diabetes,30.47,15.95
2010,ALLEGANY,PQI_14,Uncontrolled Diabetes,25.19,14.52
2011,ALLEGANY,PQI_14,Uncontrolled Diabetes,26.07,13.42
2012,ALLEGANY,PQI_14,Uncontrolled Diabetes,10.45,12.76
2009,ALLEGANY,PQI_15,Asthma in Younger Adults,46.2,50.27
2010,ALLEGANY,PQI_15,Asthma in Younger Adults,28.38,39.49
2011,ALLEGANY,PQI_15,Asthma in Younger Adults,49.94,40.37
2012,ALLEGANY,PQI_15,Asthma in Younger Adults,19.36,41.14
2009,ALLEGANY,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,15.29,10.56
2010,ALLEGANY,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,5.06,9.79
2011,ALLEGANY,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,5.17,10.34
2012,ALLEGANY,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,10.45,10.34
2009,ALLEGANY,PQI_90,Prevention Quality Overall Composite,1788.05,1419.99
2010,ALLEGANY,PQI_90,Prevention Quality Overall Composite,1480.93,1321.54
2011,ALLEGANY,PQI_90,Prevention Quality Overall Composite,1489.62,1299.1
2012,ALLEGANY,PQI_90,Prevention Quality Overall Composite,928.18,1210.44
2009,ALLEGANY,PQI_91,Prevention Quality Acute Composite,680.68,573.1
2010,ALLEGANY,PQI_91,Prevention Quality Acute Composite,594.33,529.43
2011,ALLEGANY,PQI_91,Prevention Quality Acute Composite,631.29,521.84
2012,ALLEGANY,PQI_91,Prevention Quality Acute Composite,409.31,478.17
2009,ALLEGANY,PQI_92,Prevention Quality Chronic Composite,1107.37,847
2010,ALLEGANY,PQI_92,Prevention Quality Chronic Composite,886.49,792.11
2011,ALLEGANY,PQI_92,Prevention Quality Chronic Composite,858.33,777.26
2012,ALLEGANY,PQI_92,Prevention Quality Chronic Composite,518.87,732.27
2009,ALLEGANY,PQI_S01,Prevention Quality All Diabetes Composite,185.46,152.79
2010,ALLEGANY,PQI_S01,Prevention Quality All Diabetes Composite,151.14,152.02
2011,ALLEGANY,PQI_S01,Prevention Quality All Diabetes Composite,169.62,156.86
2012,ALLEGANY,PQI_S01,Prevention Quality All Diabetes Composite,117.37,151.69
2009,ALLEGANY,PQI_S02,Prevention Quality All Circulatory Composite,482.57,392.37
2010,ALLEGANY,PQI_S02,Prevention Quality All Circulatory Composite,345.07,360.58
2011,ALLEGANY,PQI_S02,Prevention Quality All Circulatory Composite,315.7,337.15
2012,ALLEGANY,PQI_S02,Prevention Quality All Circulatory Composite,190.3,315.15
2009,ALLEGANY,PQI_S03,Prevention Quality All Respiratory Composite,439.45,301.95
2010,ALLEGANY,PQI_S03,Prevention Quality All Respiratory Composite,390.39,279.51
2011,ALLEGANY,PQI_S03,Prevention Quality All Respiratory Composite,373.12,283.36
2012,ALLEGANY,PQI_S03,Prevention Quality All Respiratory Composite,211.2,265.54
2009,BRONX,PQI_01,Diabetes Short-term Complications,122.1,83.38
2010,BRONX,PQI_01,Diabetes Short-term Complications,126.83,83.82
2011,BRONX,PQI_01,Diabetes Short-term Complications,116.71,86.02
2012,BRONX,PQI_01,Diabetes Short-term Complications,127.71,91.63
2009,BRONX,PQI_03,Diabetes Long-term Complications,303.82,208.89
2010,BRONX,PQI_03,Diabetes Long-term Complications,312.84,206.91
2011,BRONX,PQI_03,Diabetes Long-term Complications,302.94,208.89
2012,BRONX,PQI_03,Diabetes Long-term Complications,293.15,191.4
2009,BRONX,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,1254.44,770.11
2010,BRONX,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,1162.81,731.94
2011,BRONX,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,1082.73,723.25
2012,BRONX,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,1068.87,694.32
2009,BRONX,PQI_07,Hypertension,202.07,123.86
2010,BRONX,PQI_07,Hypertension,179.3,120.01
2011,BRONX,PQI_07,Hypertension,168.96,117.7
2012,BRONX,PQI_07,Hypertension,180.29,113.08
2009,BRONX,PQI_08,Heart Failure,560.56,424.27
2010,BRONX,PQI_08,Heart Failure,478.17,389.62
2011,BRONX,PQI_08,Heart Failure,444.29,372.79
2012,BRONX,PQI_08,Heart Failure,441.32,360.36
2009,BRONX,PQI_10,Dehydration,144.21,127.38
2010,BRONX,PQI_10,Dehydration,149.27,123.75
2011,BRONX,PQI_10,Dehydration,130.35,118.91
2012,BRONX,PQI_10,Dehydration,137.83,114.62
2009,BRONX,PQI_11,Bacterial Pneumonia,342.1,271.48
2010,BRONX,PQI_11,Bacterial Pneumonia,283.03,236.94
2011,BRONX,PQI_11,Bacterial Pneumonia,306.46,250.03
2012,BRONX,PQI_11,Bacterial Pneumonia,264.55,228.36
2009,BRONX,PQI_12,Urinary Tract Infection,287.43,198.11
2010,BRONX,PQI_12,Urinary Tract Infection,262.68,197.56
2011,BRONX,PQI_12,Urinary Tract Infection,245.3,189.64
2012,BRONX,PQI_12,Urinary Tract Infection,231.11,180.73
2009,BRONX,PQI_13,Angina Without Procedure,62.15,41.47
2010,BRONX,PQI_13,Angina Without Procedure,45.87,34.1
2011,BRONX,PQI_13,Angina Without Procedure,38.06,29.59
2012,BRONX,PQI_13,Angina Without Procedure,31.46,25.85
2009,BRONX,PQI_14,Uncontrolled Diabetes,114.51,65.67
2010,BRONX,PQI_14,Uncontrolled Diabetes,83.16,54.78
2011,BRONX,PQI_14,Uncontrolled Diabetes,71.72,48.29
2012,BRONX,PQI_14,Uncontrolled Diabetes,57.53,42.68
2009,BRONX,PQI_15,Asthma in Younger Adults,309.98,152.02
2010,BRONX,PQI_15,Asthma in Younger Adults,233.75,115.5
2011,BRONX,PQI_15,Asthma in Younger Adults,231.11,113.08
2012,BRONX,PQI_15,Asthma in Younger Adults,234.96,111.1
2009,BRONX,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,24.09,19.25
2010,BRONX,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,28.27,18.59
2011,BRONX,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,29.48,19.36
2012,BRONX,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,31.24,19.47
2009,BRONX,PQI_90,Prevention Quality Overall Composite,2981.99,2047.65
2010,BRONX,PQI_90,Prevention Quality Overall Composite,2684.66,1914.33
2011,BRONX,PQI_90,Prevention Quality Overall Composite,2550.24,1888.92
2012,BRONX,PQI_90,Prevention Quality Overall Composite,2482.37,1796.3
2009,BRONX,PQI_91,Prevention Quality Acute Composite,773.74,596.86
2010,BRONX,PQI_91,Prevention Quality Acute Composite,695.09,558.36
2011,BRONX,PQI_91,Prevention Quality Acute Composite,682.11,558.58
2012,BRONX,PQI_91,Prevention Quality Acute Composite,633.49,523.71
2009,BRONX,PQI_92,Prevention Quality Chronic Composite,2208.25,1450.9
2010,BRONX,PQI_92,Prevention Quality Chronic Composite,1989.68,1356.08
2011,BRONX,PQI_92,Prevention Quality Chronic Composite,1868.02,1330.34
2012,BRONX,PQI_92,Prevention Quality Chronic Composite,1848.88,1272.59
2009,BRONX,PQI_S01,Prevention Quality All Diabetes Composite,553.08,368.5
2010,BRONX,PQI_S01,Prevention Quality All Diabetes Composite,537.9,355.3
2011,BRONX,PQI_S01,Prevention Quality All Diabetes Composite,506.22,353.65
2012,BRONX,PQI_S01,Prevention Quality All Diabetes Composite,494.67,336.16
2009,BRONX,PQI_S02,Prevention Quality All Circulatory Composite,824.78,589.71
2010,BRONX,PQI_S02,Prevention Quality All Circulatory Composite,703.34,543.73
2011,BRONX,PQI_S02,Prevention Quality All Circulatory Composite,651.31,520.08
2012,BRONX,PQI_S02,Prevention Quality All Circulatory Composite,653.18,499.29
2009,BRONX,PQI_S03,Prevention Quality All Respiratory Composite,830.5,492.69
2010,BRONX,PQI_S03,Prevention Quality All Respiratory Composite,748.55,457.05
2011,BRONX,PQI_S03,Prevention Quality All Respiratory Composite,710.71,456.72
2012,BRONX,PQI_S03,Prevention Quality All Respiratory Composite,701.36,437.25
2009,BROOME,PQI_01,Diabetes Short-term Complications,42.24,41.58
2010,BROOME,PQI_01,Diabetes Short-term Complications,59.73,42.02
2011,BROOME,PQI_01,Diabetes Short-term Complications,56.21,45.43
2012,BROOME,PQI_01,Diabetes Short-term Complications,57.2,48.73
2009,BROOME,PQI_03,Diabetes Long-term Complications,79.42,108.57
2010,BROOME,PQI_03,Diabetes Long-term Complications,83.49,106.81
2011,BROOME,PQI_03,Diabetes Long-term Complications,99.22,110.77
2012,BROOME,PQI_03,Diabetes Long-term Complications,108.13,109.34
2009,BROOME,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,549.34,523.38
2010,BROOME,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,562.76,488.51
2011,BROOME,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,520.3,487.85
2012,BROOME,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,438.9,465.41
2009,BROOME,PQI_07,Hypertension,52.47,51.92
2010,BROOME,PQI_07,Hypertension,43.67,51.81
2011,BROOME,PQI_07,Hypertension,49.61,53.02
2012,BROOME,PQI_07,Hypertension,58.41,55.44
2009,BROOME,PQI_08,Heart Failure,420.09,399.63
2010,BROOME,PQI_08,Heart Failure,361.68,360.36
2011,BROOME,PQI_08,Heart Failure,399.08,347.82
2012,BROOME,PQI_08,Heart Failure,399.74,335.61
2009,BROOME,PQI_10,Dehydration,144.1,157.41
2010,BROOME,PQI_10,Dehydration,107.25,139.26
2011,BROOME,PQI_10,Dehydration,103.18,137.83
2012,BROOME,PQI_10,Dehydration,101.2,127.49
2009,BROOME,PQI_11,Bacterial Pneumonia,446.27,317.79
2010,BROOME,PQI_11,Bacterial Pneumonia,400.95,280.94
2011,BROOME,PQI_11,Bacterial Pneumonia,434.94,291.61
2012,BROOME,PQI_11,Bacterial Pneumonia,345.07,267.63
2009,BROOME,PQI_12,Urinary Tract Infection,209.99,186.78
2010,BROOME,PQI_12,Urinary Tract Infection,239.03,187.88
2011,BROOME,PQI_12,Urinary Tract Infection,284.13,187.11
2012,BROOME,PQI_12,Urinary Tract Infection,265.32,183.81
2009,BROOME,PQI_13,Angina Without Procedure,34.54,27.17
2010,BROOME,PQI_13,Angina Without Procedure,25.08,22.33
2011,BROOME,PQI_13,Angina Without Procedure,25.52,19.8
2012,BROOME,PQI_13,Angina Without Procedure,18.81,18.59
2009,BROOME,PQI_14,Uncontrolled Diabetes,26.29,20.57
2010,BROOME,PQI_14,Uncontrolled Diabetes,21.89,17.93
2011,BROOME,PQI_14,Uncontrolled Diabetes,16.28,16.83
2012,BROOME,PQI_14,Uncontrolled Diabetes,25.19,17.16
2009,BROOME,PQI_15,Asthma in Younger Adults,71.61,61.05
2010,BROOME,PQI_15,Asthma in Younger Adults,33.22,48.73
2011,BROOME,PQI_15,Asthma in Younger Adults,60.28,49.28
2012,BROOME,PQI_15,Asthma in Younger Adults,55,51.26
2009,BROOME,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,12.76,11.99
2010,BROOME,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,14.08,11.11
2011,BROOME,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,11.11,11.77
2012,BROOME,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,12.54,12.21
2009,BROOME,PQI_90,Prevention Quality Overall Composite,1831.28,1663.75
2010,BROOME,PQI_90,Prevention Quality Overall Composite,1708.41,1533.73
2011,BROOME,PQI_90,Prevention Quality Overall Composite,1824.68,1542.31
2012,BROOME,PQI_90,Prevention Quality Overall Composite,1684.65,1484.23
2009,BROOME,PQI_91,Prevention Quality Acute Composite,800.36,661.98
2010,BROOME,PQI_91,Prevention Quality Acute Composite,747.23,608.08
2011,BROOME,PQI_91,Prevention Quality Acute Composite,822.25,616.55
2012,BROOME,PQI_91,Prevention Quality Acute Composite,711.59,579.04
2009,BROOME,PQI_92,Prevention Quality Chronic Composite,1030.92,1001.77
2010,BROOME,PQI_92,Prevention Quality Chronic Composite,961.18,925.65
2011,BROOME,PQI_92,Prevention Quality Chronic Composite,1002.43,925.76
2012,BROOME,PQI_92,Prevention Quality Chronic Composite,973.06,905.3
2009,BROOME,PQI_S01,Prevention Quality All Diabetes Composite,158.18,177.43
2010,BROOME,PQI_S01,Prevention Quality All Diabetes Composite,172.81,172.81
2011,BROOME,PQI_S01,Prevention Quality All Diabetes Composite,177.65,179.08
2012,BROOME,PQI_S01,Prevention Quality All Diabetes Composite,197.34,181.61
2009,BROOME,PQI_S02,Prevention Quality All Circulatory Composite,507.1,478.83
2010,BROOME,PQI_S02,Prevention Quality All Circulatory Composite,430.43,434.5
2011,BROOME,PQI_S02,Prevention Quality All Circulatory Composite,474.1,420.64
2012,BROOME,PQI_S02,Prevention Quality All Circulatory Composite,477.07,409.75
2009,BROOME,PQI_S03,Prevention Quality All Respiratory Composite,365.64,345.62
2010,BROOME,PQI_S03,Prevention Quality All Respiratory Composite,357.83,318.34
2011,BROOME,PQI_S03,Prevention Quality All Respiratory Composite,350.68,326.15
2012,BROOME,PQI_S03,Prevention Quality All Respiratory Composite,298.54,314.05
2009,CATTARAUGUS,PQI_01,Diabetes Short-term Complications,44.11,41.25
2010,CATTARAUGUS,PQI_01,Diabetes Short-term Complications,65.45,42.79
2011,CATTARAUGUS,PQI_01,Diabetes Short-term Complications,94.71,45.98
2012,CATTARAUGUS,PQI_01,Diabetes Short-term Complications,19.58,50.71
2009,CATTARAUGUS,PQI_03,Diabetes Long-term Complications,133.87,110.33
2010,CATTARAUGUS,PQI_03,Diabetes Long-term Complications,80.19,110.88
